filename,emotion
./audio/W037_disgusted_level_1_W037_disgusted_level_1_026.wav,disgusted
./audio/W037_happy_level_3_W037_happy_level_3_002.wav,happy
./audio/W040_sad_level_2_W040_sad_level_2_W040_sad_level_2_016.wav,sad
./audio/M011_sad_level_2_M011_sad_level_2_M011_sad_level_2_018.wav,sad
./audio/W036_angry_level_3_W036_angry_level_3_W036_angry_level_3_026.wav,angry
./audio/W036_disgusted_level_3_W036_disgusted_level_3_W036_disgusted_level_3_026.wav,disgusted
./audio/W036_neutral_level_1_W036_neutral_level_1_W036_neutral_level_1_021.wav,neutral
./audio/W036_neutral_level_1_W036_neutral_level_1_W036_neutral_level_1_001.wav,neutral
./audio/W037_happy_level_3_W037_happy_level_3_053.wav,happy
./audio/W039_angry_level_2_W039_angry_level_2_W039_angry_level_2_008.wav,angry
./audio/W036_angry_level_3_W036_angry_level_3_W036_angry_level_3_016.wav,angry
./audio/M011_fear_level_1_M011_fear_level_1_M011_fear_level_1_026.wav,fear
./audio/M007_angry_level_2_M007_angry_level_2_M007_angry_level_2_018.wav,angry
./audio/M007_fear_level_2_M007_fear_level_2_M007_fear_level_2_023.wav,fear
./audio/W036_surprised_level_2_W036_surprised_level_2_W036_surprised_level_2_043.wav,surprised
./audio/M007_fear_level_1_M007_fear_level_1_M007_fear_level_1_010.wav,fear
./audio/W040_fear_level_3_W040_fear_level_3_W040_fear_level_3_002.wav,fear
./audio/W039_surprised_level_1_W039_surprised_level_1_W039_surprised_level_1_001.wav,surprised
./audio/W040_surprised_level_3_W040_surprised_level_3_W040_surprised_level_3_024.wav,surprised
./audio/M005_angry_level_3_M005_angry_level_3_M005_angry_level_3_056.wav,angry
./audio/W039_neutral_level_1_W039_neutral_level_1_W039_neutral_level_1_014.wav,neutral
./audio/M005_angry_level_1_M005_angry_level_1_M005_angry_level_1_002.wav,angry
./audio/W039_angry_level_3_W039_angry_level_3_W039_angry_level_3_048.wav,angry
./audio/W039_neutral_level_1_W039_neutral_level_1_W039_neutral_level_1_007.wav,neutral
./audio/M011_sad_level_3_M011_sad_level_3_M011_sad_level_3_025.wav,sad
./audio/W040_angry_level_2_W040_angry_level_2_W040_angry_level_2_012.wav,angry
./audio/W036_fear_level_2_W036_fear_level_2_W036_fear_level_2_046.wav,fear
./audio/W038_happy_level_1_W038_happy_level_1_W038_happy_level_1_008.wav,happy
./audio/M009_fear_level_3_M009_fear_level_3_M009_fear_level_3_013.wav,fear
./audio/W038_surprised_level_2_W038_surprised_level_2_W038_surprised_level_2_001.wav,surprised
./audio/M005_neutral_level_1_M005_neutral_level_1_M005_neutral_level_1_070.wav,neutral
./audio/M003_contempt_level_3_M003_contempt_level_3_M003_contempt_level_3_028.wav,contempt
./audio/M005_neutral_level_1_M005_neutral_level_1_M005_neutral_level_1_069.wav,neutral
./audio/M003_fear_level_1_M003_fear_level_1_M003_fear_level_1_010.wav,fear
./audio/W039_happy_level_2_W039_happy_level_2_W039_happy_level_2_035.wav,happy
./audio/W039_surprised_level_1_W039_surprised_level_1_W039_surprised_level_1_053.wav,surprised
./audio/M005_happy_level_2_M005_happy_level_2_M005_happy_level_2_002.wav,happy
./audio/W040_angry_level_1_W040_angry_level_1_W040_angry_level_1_011.wav,angry
./audio/M007_neutral_level_1_M007_neutral_level_1_M007_neutral_level_1_039.wav,neutral
./audio/M005_happy_level_3_M005_happy_level_3_M005_happy_level_3_002.wav,happy
./audio/M005_fear_level_3_M005_fear_level_3_M005_fear_level_3_023.wav,fear
./audio/M009_sad_level_1_M009_sad_level_1_M009_sad_level_1_011.wav,sad
./audio/M011_happy_level_2_M011_happy_level_2_M011_happy_level_2_008.wav,happy
./audio/W036_contempt_level_2_W036_contempt_level_2_W036_contempt_level_2_010.wav,contempt
./audio/M003_fear_level_3_M003_fear_level_3_M003_fear_level_3_028.wav,fear
./audio/W040_surprised_level_1_W040_surprised_level_1_W040_surprised_level_1_025.wav,surprised
./audio/M007_fear_level_2_M007_fear_level_2_M007_fear_level_2_013.wav,fear
./audio/W037_surprised_level_2_W037_surprised_level_2_023.wav,surprised
./audio/W038_sad_level_3_W038_sad_level_3_W038_sad_level_3_043.wav,sad
./audio/M009_angry_level_2_M009_angry_level_2_M009_angry_level_2_012.wav,angry
./audio/M005_surprised_level_1_M005_surprised_level_1_M005_surprised_level_1_058.wav,surprised
./audio/M003_surprised_level_2_M003_surprised_level_2_M003_surprised_level_2_016.wav,surprised
./audio/W037_sad_level_2_W037_sad_level_2_023.wav,sad
./audio/W037_surprised_level_2_W037_surprised_level_2_030.wav,surprised
./audio/W037_sad_level_2_W037_sad_level_2_057.wav,sad
./audio/W039_angry_level_1_W039_angry_level_1_W039_angry_level_1_032.wav,angry
./audio/M003_angry_level_3_M003_angry_level_3_M003_angry_level_3_010.wav,angry
./audio/M007_neutral_level_1_M007_neutral_level_1_M007_neutral_level_1_030.wav,neutral
./audio/M005_happy_level_1_M005_happy_level_1_M005_happy_level_1_035.wav,happy
./audio/W040_happy_level_3_W040_happy_level_3_W040_happy_level_3_027.wav,happy
./audio/M009_happy_level_1_M009_happy_level_1_M009_happy_level_1_003.wav,happy
./audio/M011_surprised_level_1_M011_surprised_level_1_M011_surprised_level_1_023.wav,surprised
./audio/W038_neutral_level_1_W038_neutral_level_1_W038_neutral_level_1_069.wav,neutral
./audio/M009_fear_level_2_M009_fear_level_2_M009_fear_level_2_008.wav,fear
./audio/W037_disgusted_level_1_W037_disgusted_level_1_036.wav,disgusted
./audio/W036_happy_level_1_W036_happy_level_1_W036_happy_level_1_015.wav,happy
./audio/W039_happy_level_1_W039_happy_level_1_W039_happy_level_1_001.wav,happy
./audio/M011_contempt_level_2_M011_contempt_level_2_M011_contempt_level_2_009.wav,contempt
./audio/W039_surprised_level_1_W039_surprised_level_1_W039_surprised_level_1_008.wav,surprised
./audio/W036_angry_level_2_W036_angry_level_2_W036_angry_level_2_057.wav,angry
./audio/W040_angry_level_1_W040_angry_level_1_W040_angry_level_1_025.wav,angry
./audio/W038_surprised_level_2_W038_surprised_level_2_W038_surprised_level_2_029.wav,surprised
./audio/W036_disgusted_level_3_W036_disgusted_level_3_W036_disgusted_level_3_055.wav,disgusted
./audio/W039_surprised_level_2_W039_surprised_level_2_W039_surprised_level_2_052.wav,surprised
./audio/W038_surprised_level_3_W038_surprised_level_3_W038_surprised_level_3_058.wav,surprised
./audio/W040_happy_level_1_W040_happy_level_1_W040_happy_level_1_028.wav,happy
./audio/W040_surprised_level_3_W040_surprised_level_3_W040_surprised_level_3_012.wav,surprised
./audio/M009_disgusted_level_3_M009_disgusted_level_3_M009_disgusted_level_3_023.wav,disgusted
./audio/W039_neutral_level_1_W039_neutral_level_1_W039_neutral_level_1_056.wav,neutral
./audio/W040_happy_level_2_W040_happy_level_2_W040_happy_level_2_030.wav,happy
./audio/M011_disgusted_level_3_M011_disgusted_level_3_M011_disgusted_level_3_005.wav,disgusted
./audio/W036_surprised_level_1_W036_surprised_level_1_W036_surprised_level_1_047.wav,surprised
./audio/W037_angry_level_2_W037_angry_level_2_025.wav,angry
./audio/W038_happy_level_2_W038_happy_level_2_W038_happy_level_2_019.wav,happy
./audio/M005_angry_level_1_M005_angry_level_1_M005_angry_level_1_048.wav,angry
./audio/W038_sad_level_2_W038_sad_level_2_W038_sad_level_2_015.wav,sad
./audio/W036_contempt_level_2_W036_contempt_level_2_W036_contempt_level_2_008.wav,contempt
./audio/M007_happy_level_2_M007_happy_level_2_M007_happy_level_2_009.wav,happy
./audio/M007_happy_level_2_M007_happy_level_2_M007_happy_level_2_019.wav,happy
./audio/W040_happy_level_3_W040_happy_level_3_W040_happy_level_3_028.wav,happy
./audio/M011_angry_level_3_M011_angry_level_3_M011_angry_level_3_028.wav,angry
./audio/M003_contempt_level_1_M003_contempt_level_1_M003_contempt_level_1_018.wav,contempt
./audio/M003_angry_level_2_M003_angry_level_2_M003_angry_level_2_018.wav,angry
./audio/W039_disgusted_level_1_W039_disgusted_level_1_W039_disgusted_level_1_009.wav,disgusted
./audio/M003_contempt_level_1_M003_contempt_level_1_M003_contempt_level_1_005.wav,contempt
./audio/M007_disgusted_level_1_M007_disgusted_level_1_M007_disgusted_level_1_027.wav,disgusted
./audio/W040_neutral_level_1_W040_neutral_level_1_W040_neutral_level_1_003.wav,neutral
./audio/M003_sad_level_1_M003_sad_level_1_M003_sad_level_1_012.wav,sad
./audio/W036_contempt_level_2_W036_contempt_level_2_W036_contempt_level_2_009.wav,contempt
./audio/W038_contempt_level_1_W038_contempt_level_1_W038_contempt_level_1_027.wav,contempt
./audio/W036_disgusted_level_2_W036_disgusted_level_2_W036_disgusted_level_2_036.wav,disgusted
./audio/W038_fear_level_2_W038_fear_level_2_W038_fear_level_2_024.wav,fear
./audio/W039_disgusted_level_1_W039_disgusted_level_1_W039_disgusted_level_1_001.wav,disgusted
./audio/W036_disgusted_level_2_W036_disgusted_level_2_W036_disgusted_level_2_057.wav,disgusted
./audio/W037_neutral_level_1_W037_neutral_level_1_055.wav,neutral
./audio/M005_angry_level_3_M005_angry_level_3_M005_angry_level_3_010.wav,angry
./audio/W036_happy_level_3_W036_happy_level_3_W036_happy_level_3_048.wav,happy
./audio/M005_disgusted_level_2_M005_disgusted_level_2_M005_disgusted_level_2_057.wav,disgusted
./audio/W036_sad_level_2_W036_sad_level_2_W036_sad_level_2_035.wav,sad
./audio/M011_surprised_level_3_M011_surprised_level_3_M011_surprised_level_3_021.wav,surprised
./audio/M009_contempt_level_3_M009_contempt_level_3_M009_contempt_level_3_021.wav,contempt
./audio/W036_sad_level_2_W036_sad_level_2_W036_sad_level_2_003.wav,sad
./audio/W038_fear_level_1_W038_fear_level_1_W038_fear_level_1_058.wav,fear
./audio/W040_angry_level_1_W040_angry_level_1_W040_angry_level_1_020.wav,angry
./audio/W036_angry_level_1_W036_angry_level_1_W036_angry_level_1_055.wav,angry
./audio/M005_surprised_level_3_M005_surprised_level_3_M005_surprised_level_3_038.wav,surprised
./audio/W038_surprised_level_3_W038_surprised_level_3_W038_surprised_level_3_045.wav,surprised
./audio/W037_neutral_level_1_W037_neutral_level_1_064.wav,neutral
./audio/W037_neutral_level_1_W037_neutral_level_1_001.wav,neutral
./audio/M005_disgusted_level_3_M005_disgusted_level_3_M005_disgusted_level_3_004.wav,disgusted
./audio/W036_happy_level_1_W036_happy_level_1_W036_happy_level_1_020.wav,happy
./audio/M003_happy_level_2_M003_happy_level_2_M003_happy_level_2_016.wav,happy
./audio/M007_contempt_level_2_M007_contempt_level_2_M007_contempt_level_2_028.wav,contempt
./audio/M003_sad_level_3_M003_sad_level_3_M003_sad_level_3_015.wav,sad
./audio/W037_contempt_level_1_W037_contempt_level_1_002.wav,contempt
./audio/M009_angry_level_3_M009_angry_level_3_M009_angry_level_3_009.wav,angry
./audio/M007_fear_level_3_M007_fear_level_3_M007_fear_level_3_016.wav,fear
./audio/W040_surprised_level_3_W040_surprised_level_3_W040_surprised_level_3_027.wav,surprised
./audio/M003_disgusted_level_1_M003_disgusted_level_1_M003_disgusted_level_1_009.wav,disgusted
./audio/W036_fear_level_3_W036_fear_level_3_W036_fear_level_3_001.wav,fear
./audio/W037_sad_level_2_W037_sad_level_2_021.wav,sad
./audio/M011_contempt_level_1_M011_contempt_level_1_M011_contempt_level_1_010.wav,contempt
./audio/W040_angry_level_1_W040_angry_level_1_W040_angry_level_1_003.wav,angry
./audio/W037_angry_level_2_W037_angry_level_2_056.wav,angry
